兽,4799
雁,4796
疮,4793
庸,4784
侧,4777
饰,4774
卜,4774
煮,4774
童,4771
袁,4770
辨,4762
焚,4759
邦,4752
择,4721
趋,4717
准,4710
钦,4700
禽,4697
僚,4694
斤,4692
遵,4686
冯,4684
湿,4680
材,4673
冰,4668
捕,4666
葛,4657
卑,4645
岩,4641
辈,4634
笔,4627
预,4613
耕,4591
尸,4582
擒,4582
姚,4581
抱,4580
盘,4574
烦,4571
蛇,4569
算,4560
忆,4556
浅,4555
贬,4553
普,4552
妾,4550
旋,4546
瑞,4540
频,4538
阵,4534
遍,4531
奈,4529
逃,4527
隔,4524
怜,4520
环,4512
斋,4512
逸,4507
泪,4502
妄,4497
式,4490
医,4480
鉴,4474
逼,4468
钞,4448
托,4443
遁,4443
郁,4439
涉,4437
狂,4423
抵,4419
贪,4415
斜,4398
粉,4393
舒,4376
融,4350
囚,4350
浩,4344
悬,4343
慈,4336
眉,4331
衍,4315
戏,4303
羌,4301
坏,4298
轩,4294
莽,4294
剌,4288
杯,4288
窗,4278
弊,4276
敏,4275
矢,4273
怪,4266
项,4266
鲜,4252
练,4247
场,4242
基,4227
泥,4226
圆,4213
坛,4213
峰,4210
把,4204
繁,4199
帐,4193
佳,4193
辩,4185
浚,4176
巨,4173
岐,4170
齿,4168
澄,4167
姜,4167
祝,4164
绛,4157
览,4142
漏,4133
琴,4131
拟,4123
躬,4112
猛,4109
黎,4096
邺,4093
仗,4091
兖,4087
介,4083
厉,4059
际,4058
妙,4058
董,4055
倍,4055
帘,4050
韵,4031
淳,4029
茶,4018
停,4011
霸,4006
汴,3997
货,3994
寂,3993
咏,3963
沉,3961
俟,3960
镜,3950
纯,3931
猎,3930
摇,3928
邓,3928
敷,3928
缓,3924
淫,3922
彩,3920
厌,3918
摄,3914
戴,3900
村,3890
荡,3884
琼,3875
彻,3870
屏,3868
泛,3866
番,3855
鸾,3851
泄,3846
浸,3838
扰,3830
编,3821
魂,3816
颂,3808
巢,3807
胃,3799
苗,3794
床,3791
穴,3782
麦,3780
迳,3774
绣,3762
烛,3760
晨,3750
驿,3747
灯,3735
翔,3727
研,3722
币,3720
溃,3720
翁,3719
奚,3699
阻,3697
浦,3696
浪,3689
嵩,3687
辱,3681
锋,3670
盟,3665
荷,3663
佩,3659
削,3653
孰,3648
想,3646
润,3645
旁,3641
谈,3640
肆,3639
仇,3637
募,3636
局,3632
聪,3628
墨,3619
肺,3618
绕,3617
灰,3616
买,3614
纷,3611
借,3609
悟,3606
戮,3599
昆,3597
讫,3590
级,3586
腰,3584
渔,3581
轨,3577
裁,3577
凭,3575
距,3574
趣,3561
幕,3551
祚,3543
巧,3525
割,3510
捷,3503
赖,3500
罕,3495
杰,3487
协,3484
拥,3480
闰,3477
驻,3474
绩,3471
骄,3463
暖,3459
肝,3459
恤,3458
迷,3457
悔,3443
霞,3438
暑,3436
貌,3434
翻,3428
抑,3428
旬,3427
墓,3414
晴,3413
团,3409
悠,3406
携,3405
笃,3403
堤,3398
涕,3398
匡,3397
肿,3394
畜,3389
旌,3382
窦,3363
渭,3363
劫,3359
傍,3348
乳,3335
枕,3327
诈,3321
默,3315
衔,3311
租,3307
束,3302
腾,3297
毅,3297
竭,3296
缺,3285
逊,3283
零,3283
蓬,3282
遽,3274
储,3273
滑,3269
倒,3265
锐,3260
叙,3254
晦,3249
恃,3247
耻,3247
续,3246
洲,3242
酬,3236
课,3236
垣,3233
麟,3233
酌,3231
完,3228
尼,3216
靡,3213
佥,3213
乾,3206
片,3204
夹,3198
妖,3197
肾,3189
沧,3186
奋,3183
勉,3181
轮,3179
弹,3171
蔽,3170
构,3169
绵,3168
抄,3160
拾,3159
炎,3151
创,3151
狐,3141
牵,3141
拂,3138
域,3129
宦,3128
懿,3127
卦,3117
垒,3113
络,3112
黜,3111
冥,3107
整,3097
栖,3088
遭,3085
颍,3084
咎,3083
芝,3080
犬,3075
乏,3074
奠,3064
区,3063
诬,3060
绪,3059
凌,3053
柏,3050
偶,3044
肥,3038
睿,3031
浊,3030
飘,3029
狄,3023
莲,3023
铸,3019
啼,3004
竞,3001
诉,2996
逮,2993
溢,2989
阅,2983
瓜,2979
晖,2976
绢,2976
褒,2975
脏,2973
瑶,2971
誉,2970
艺,2967
皋,2965
捣,2965
扇,2962
邵,2958
畿,2953
坠,2952
擅,2949
秉,2946
额,2941
扫,2941
卖,2932
峻,2929
朴,2929
写,2926
欺,2926
植,2925
活,2925
弄,2922
牢,2920
膏,2914
错,2907
讼,2887
雾,2879
斥,2878
塘,2873
嗟,2870
隂,2870
坊,2867
饶,2864
勃,2860
坤,2855
抗,2847
鼻,2845
泾,2840
映,2837
哲,2830
筋,2829
籓,2828
低,2827
暂,2821
韶,2818
郢,2814
诞,2812
朗,2812
测,2812
沟,2808
巾,2805
净,2802
骁,2801
枯,2799
墙,2796
婴,2796
冤,2795
座,2791
斛,2791
胆,2787
针,2785
践,2784
健,2769
亨,2767
羞,2760
诱,2753
殆,2753
穿,2735
育,2735
潭,2733
款,2731
朋,2729
唱,2728
婢,2727
淡,2725
鬓,2723
宏,2717
激,2711
狼,2706
雀,2705
绶,2704
筵,2703
袖,2695
枚,2694
诵,2692
冕,2691
排,2688
巫,2688
洁,2687
梧,2684
龄,2678
胄,2673
钩,2673
阑,2672
闾,2669
麾,2667
冒,2662
冢,2662
讳,2657
邀,2655
莱,2654
惮,2652
攸,2650
浓,2648
拘,2647
焦,2637
帖,2637
鄙,2630
脾,2629
阔,2628
昨,2623
脚,2622
姬,2622
鼠,2619
俯,2611
粗,2608
辇,2607
滋,2604
纸,2599
诰,2598
油,2597
途,2592
拱,2592
屠,2586
茅,2584
茎,2579
瓦,2578
彰,2577
曜,2574
话,2566
疆,2564
箭,2563
慢,2563
莺,2562
霍,2562
惭,2561
磨,2559
绥,2557
织,2557
嫁,2555
潮,2552
窥,2549
虔,2531
料,2530
嫌,2529
壶,2527
堕,2525
雕,2525
祗,2525
珪,2513
愧,2510
恕,2503
妆,2500
羡,2494
愤,2482
飨,2477
聘,2476
矜,2473
脂,2472
胸,2472
迫,2469
价,2467
匿,2463
队,2463
桐,2460
熊,2458
裳,2457
卓,2454
伴,2451
颖,2445
鞭,2442
爽,2441
汾,2441
般,2438
瞻,2437
臧,2437
胥,2436
响,2431
誓,2431
贰,2430
溺,2430
谟,2428
包,2422
漕,2420
滞,2419
灌,2410
绮,2407
宛,2407
蚀,2407
罔,2406
它,2403
催,2398
刃,2393
俨,2391
沮,2391
哥,2388
艰,2387
展,2384
胁,2384
警,2384
旷,2381
绳,2381
潘,2380
俎,2380
胤,2378
添,2377
猪,2377
播,2376
沛,2372
咽,2370
秒,2368
堡,2367
婚,2364
荀,2361
吊,2354
狗,2351
隙,2338
偃,2338
跪,2338
菜,2337
恁,2330
玩,2327
染,2325
返,2317
挟,2316
烂,2315
禀,2307
砦,2307
亩,2299
笼,2297
碎,2291
蒸,2289
酋,2289
樊,2286
宵,2282
销,2279
牲,2279
披,2277
恣,2272
伍,2270
邢,2268
辉,2267
檄,2264
藉,2263
欣,2260
舅,2259
谪,2255
俘,2250
析,2247
戈,2247
伟,2246
亏,2242
寨,2241
蜜,2238
俾,2236
娇,2231
掖,2231
泻,2230
蚕,2229
俸,2226
亟,2223
玺,2223
饭,2222
枉,2221
璧,2218
乖,2207
揖,2204
檀,2203
丛,2201
耀,2197
渴,2193
眠,2191
暇,2190
摩,2190
碑,2188
涯,2182
凿,2182
的,2179
证,2179
枣,2178
囊,2176
骇,2173
酸,2173
祈,2173
炒,2171
氐,2169
诘,2168
崖,2166
缩,2165
稀,2162
钧,2159
填,2158
纶,2155
睹,2149
饷,2146
赍,2146
像,2145
矫,2145
凄,2139
岛,2137
洽,2136
湛,2122
喻,2121
漫,2120
究,2120
弩,2115
舌,2114
杏,2114
沿,2114
翟,2108
纠,2108
潞,2099
泗,2098
徇,2097
亿,2096
闵,2095
钓,2095
詹,2095
艳,2092
皓,2089
夔,2089
柴,2088
值,2086
乔,2086
陪,2079
换,2077
淹,2077
醒,2073
核,2070
峡,2061
畔,2059
怅,2058
毫,2056
慧,2053
庾,2050
肩,2050
砂,2049
谅,2044
倦,2043
赈,2040
塔,2039
豹,2034
禾,2032
括,2031
寓,2030
赂,2026
纂,2025
互,2023
炉,2020
稼,2020
衮,2017
遐,2013
缚,2007
漠,2005
纤,2003
祯,1997
赫,1995
办,1992
苔,1990
辕,1990
压,1988
标,1987
臂,1986
璋,1985
匠,1985
呈,1980
洒,1980
鳞,1980
蝉,1976
亚,1975
炙,1972
翊,1972
肇,1967
肤,1967
佗,1966
锁,1965
纥,1964
矩,1962
聊,1957
粲,1953
污,1950
兔,1949
袍,1949
缗,1948
触,1947
娄,1944
锭,1944
譬,1942
菊,1941
蠕,1938
涧,1937
栗,1933
板,1929
僭,1927
耿,1921
疗,1920
裂,1918
睡,1913
痹,1912
晟,1909
怯,1907
霄,1906
蓝,1906
廪,1901
促,1899
藻,1898
皎,1898
瘦,1897
贲,1897
什,1895
膳,1891
婆,1890
滥,1889
胶,1888
搜,1884
荫,1882
奢,1882
诲,1880
膺,1878
漆,1877
昂,1875
觞,1875
邕,1875
辂,1871
圭,1869
兀,1866
恋,1864
隅,1861
裘,1855
畅,1852
谬,1851
瑾,1850
猿,1850
谗,1847
迥,1846
沾,1844
挺,1844
攀,1843
陟,1842
陂,1842
掾,1841
恪,1838
艾,1833
渚,1818
黍,1818
佞,1817
岑,1817
鹰,1816
鹊,1814
昧,1810
贷,1809
仅,1809
讥,1808
坟,1807
姿,1806
琳,1803
柄,1800
街,1799
蝶,1798
吞,1793
撒,1792
腊,1790
偕,1788
榆,1788
弑,1787
摧,1786
伺,1785
筠,1784
宥,1782
茫,1780
笛,1777
虐,1774
妨,1769
汲,1769
肌,1769
眷,1765
讽,1761
骏,1761
些,1760
膝,1758
滨,1755
羁,1754
淑,1752
陀,1751
网,1751
顶,1750
纬,1748
跃,1747
忿,1743
陌,1742
梓,1740
赎,1739
措,1736
打,1734
较,1731
戟,1729
哈,1727
涛,1726
犀,1726
叠,1722
蠲,1722
魄,1718
濮,1717
悼,1716
瑟,1713
爰,1713
邈,1713
汪,1710
赃,1710
控,1709
铎,1705
乍,1700
帆,1698
厘,1698
鞍,1696
窜,1691
笙,1689
颠,1688
沐,1686
杭,1686
忤,1684
桀,1680
牒,1679
劲,1679
妹,1677
娶,1676
孺,1676
挂,1674
醋,1674
快,1671
芒,1670
牡,1669
叟,1668
漳,1668
韬,1667
纱,1666
脑,1663
芦,1663
装,1662
猷,1662
葱,1662
泊,1661
贻,1661
洋,1661
渎,1660
曷,1659
铨,1655
瑰,1654
咨,1652
谊,1651
邸,1651
疲,1650
埋,1649
械,1648
股,1647
握,1646
馈,1639
媚,1638
蒋,1637
辖,1636
截,1634
炼,1634
潼,1633
询,1632
拨,1631
谤,1630
勾,1630
箫,1626
巷,1625
雉,1620
遏,1617
滴,1615
槐,1614
皂,1613
侈,1612
怕,1610
押,1610
衢,1610
棺,1608
唤,1605
彝,1600
阖,1600
颁,1595
球,1594
冉,1592
睦,1592
彪,1591
耆,1590
昊,1589
匪,1587
侃,1584
襟,1584
喧,1583
孛,1582
谯,1578
欧,1576
勘,1575
杞,1567
魁,1567
蜂,1566
奖,1565
慨,1565
混,1562
捧,1561
邠,1561
棘,1560
骂,1557
帷,1556
遮,1555
恢,1553
签,1552
钺,1551
铭,1549
冶,1547
赡,1547
痰,1545
叩,1545
衫,1542
椒,1542
裹,1540
佑,1539
裔,1537
剧,1537
俞,1533
竖,1530
透,1529
滔,1529
羲,1529
蹈,1528
